Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,191,8,0,0,0,0,0,0,0,0,0.32998,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.33024,R
0,1C3,8,FA,5F,7,0,0,0,0,0,0.33049,R
0,121,4,2,0,0,0,,,,,0.33186,R
0,199,8,0,0,0,0,0,0,0,FF,0.33766,R
0,F9,8,0,0,0,0,0,0,FF,0,0.33792,R
0,C9,8,9,60,7,0,0,0,0,0,0.33979,R
0,191,8,0,0,0,0,0,0,0,0,0.34005,R
0,C9,8,18,60,7,0,0,0,0,0,0.34978,R
0,191,8,0,0,0,0,0,0,0,0,0.35003,R
0,199,8,0,0,0,0,0,0,0,FF,0.35029,R
0,F9,8,0,0,0,0,0,0,FF,0,0.35054,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.3508,R
0,4C9,8,0,0,0,0,FF,0,FF,0,0.35106,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.35123,R
0,77F,8,0,FF,0,0,0,0,FF,0,0.35148,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.35217,R
0,1C3,8,1E,60,7,0,0,0,0,0,0.35242,R
0,C9,8,2C,60,7,0,0,0,0,0,0.35976,R
0,191,8,0,0,0,0,0,0,0,0,0.36002,R
0,199,8,0,0,0,0,0,0,0,FF,0.36411,R
0,F9,8,0,0,0,0,0,0,FF,0,0.36437,R
0,C9,8,3B,60,7,0,0,0,0,0,0.36974,R
0,191,8,0,0,0,0,0,0,0,0,0.37,R
0,2C3,8,6D,60,7,0,0,0,0,0,0.37026,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.37546,R
0,1C3,8,74,60,7,0,0,0,0,0,0.37572,R
0,199,8,0,0,0,0,0,0,0,FF,0.37666,R
0,F9,8,0,0,0,0,0,0,FF,0,0.37691,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.37717,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.37742,R
